Rule,Entropy across targets,Length Following Antecedent,Majority Class
"[('Color', 'Seal Point')]",[1.13471844 1.55072908],531,['Adoption' 'none']
"[('Color', 'Tan')]",[1.19896885 1.11216628],3697,['Adoption' 'none']
"[('Color', 'Brown')]",[1.50280577 1.41991439],6287,['Euthanasia' 'none']
"[('Color', 'Red')]",[1.41121366 1.2767004 ],1685,['Adoption' 'none']
"[('Color', 'Black/White')]",[1.21606437 1.34757536],15917,['Adoption' 'none']
"[('Color', 'Brown Tabby')]",[1.03816543 1.54628613],9438,['Adoption' 'none']
"[('Color', 'Blue/White')]",[1.2075953  1.22534681],4206,['Adoption' 'none']
"[('Color', 'Blue')]",[1.1323625 1.513761 ],2841,['Adoption' 'none']
"[('Color', 'White/Black')]",[1.20725396 1.25821733],4282,['Adoption' 'none']
"[('Color', 'Orange Tabby')]",[1.05374793 1.543025  ],4515,['Adoption' 'none']
"[('Color', 'Black/Tan')]",[1.15783661 0.99080212],3186,['Adoption' 'none']
"[('Color', 'Black')]",[1.27122425 1.52628875],12907,['Adoption' 'none']
"[('Color', 'Brown/White')]",[1.21913385 1.08373718],4916,['Adoption' 'none']
"[('Color', 'White/Blue')]",[1.2567891 1.3988209],735,['Adoption' 'none']
"[('Color', 'Brown Tabby/White')]",[1.03936999 1.54705604],4787,['Adoption' 'none']
"[('Color', 'Gold')]",[1.22613722 1.11639134],208,['Return to Owner' 'none']
"[('Color', 'Torbie')]",[0.95689046 1.51799637],1919,['Adoption' 'none']
"[('Color', 'Brown Brindle')]",[1.22403342 1.09519287],1322,['Adoption' 'none']
"[('Color', 'Brown/Black')]",[1.42073799 1.31339649],2990,['Adoption' 'none']
"[('Color', 'Tricolor')]",[1.13263632 1.02241773],3248,['Adoption' 'none']
"[('Color', 'Black/Brown')]",[1.30946537 1.16824176],3264,['Adoption' 'none']
"[('Color', 'White')]",[1.29685493 1.14415778],5395,['Adoption' 'none']
"[('Color', 'Cream Tabby')]",[0.98721197 1.51661827],1165,['Adoption' 'none']
"[('Color', 'Brown/Brown')]",[1.18685841 1.04487763],228,['Euthanasia' 'Rabies Risk']
"[('Color', 'Orange Tabby/White')]",[1.03695066 1.48077656],2245,['Adoption' 'none']
"[('Color', 'Blue Tabby')]",[1.00160296 1.53827619],2500,['Adoption' 'none']
"[('Color', 'Tortie')]",[1.03153486 1.54182051],2822,['Adoption' 'none']
"[('Color', 'Gray Tabby')]",[1.11577909 1.48127275],426,['Transfer' 'Partner']
"[('Color', 'Calico/White')]",[0.99270622 1.57727804],191,['Adoption' 'none']
"[('Color', 'Tan/Black')]",[1.10432387 0.9905168 ],1438,['Adoption' 'none']
"[('Color', 'Brown Brindle/White')]",[1.17532755 1.00838149],2549,['Adoption' 'none']
"[('Color', 'Buff')]",[1.18464601 1.02936215],590,['Adoption' 'none']
"[('Color', 'Tan/White')]",[1.18105982 1.01962075],4394,['Adoption' 'none']
"[('Color', 'Chocolate/White')]",[1.12609801 1.02083574],1072,['Adoption' 'none']
"[('Color', 'Blue Tick')]",[0.94929582 1.00604413],138,['Adoption' 'none']
"[('Color', 'Gray/White')]",[1.49976376 1.39613204],715,['Adoption' 'none']
"[('Color', 'Black/Red')]",[1.17061244 0.85058346],109,['Adoption' 'none']
"[('Color', 'Red/White')]",[1.15957945 0.91901   ],1505,['Adoption' 'none']
"[('Color', 'Brown/Tan')]",[1.27465035 1.08158762],578,['Adoption' 'none']
"[('Color', 'Calico')]",[1.03739484 1.55198197],2710,['Adoption' 'none']
"[('Color', 'Gray')]",[1.51231157 1.80250907],827,['Euthanasia' 'none']
"[('Color', 'Silver Tabby')]",[0.94971871 1.51169785],126,['Adoption' 'none']
"[('Color', 'Torbie/White')]",[0.87531697 1.46210957],383,['Adoption' 'none']
"[('Color', 'Cream/Tan')]",[1.03346192 0.93771827],76,['Adoption' 'none']
"[('Color', 'Cream Tabby/White')]",[0.9680104  1.40146078],495,['Adoption' 'none']
"[('Color', 'Gray/Black')]",[1.15528108 1.60826039],521,['Euthanasia' 'Rabies Risk']
"[('Color', 'White/White')]",[1.35511434 1.01726863],158,['Adoption' 'none']
"[('Color', 'White/Gray')]",[1.4440135  1.39654404],599,['Adoption' 'none']
"[('Color', 'Chocolate')]",[1.23721994 1.07304579],616,['Adoption' 'none']
"[('Color', 'White/Brown')]",[1.2237886  1.10760037],2893,['Adoption' 'none']
"[('Color', 'Fawn/White')]",[1.16117689 0.86965488],666,['Adoption' 'none']
"[('Color', 'Fawn')]",[1.296916   1.00592327],312,['Adoption' 'none']
"[('Color', 'Cream/White')]",[1.13961913 1.06677718],288,['Adoption' 'none']
"[('Color', 'White/Tricolor')]",[1.11453792 1.04958517],346,['Adoption' 'none']
"[('Color', 'Blue Tabby/White')]",[0.93624911 1.44880303],1133,['Adoption' 'none']
"[('Color', 'Fawn/Black')]",[1.12646718 1.04168434],82,['Transfer' 'none']
"[('Color', 'White/Cream')]",[1.1095534  1.11586875],188,['Adoption' 'none']
"[('Color', 'Cream')]",[1.20703664 1.15393499],905,['Adoption' 'none']
"[('Color', 'Yellow')]",[1.21241002 0.97540576],716,['Adoption' 'none']
"[('Color', 'Lilac Point')]",[0.98587016 1.40057391],164,['Adoption' 'Partner']
"[('Color', 'White/Brown Tabby')]",[1.05719842 1.51643937],646,['Adoption' 'none']
"[('Color', 'Black Smoke')]",[0.93022022 1.32623228],224,['Adoption' 'none']
"[('Color', 'Black/Tricolor')]",[1.06096574 0.84972966],478,['Adoption' 'none']
"[('Color', 'White/Liver')]",[1.04313381 0.69912437],37,['Return to Owner' 'none']
"[('Color', 'White/Buff')]",[1.1426683  1.01118109],96,['Adoption' 'none']
"[('Color', 'Seal Point/White')]",[0.87716246 1.33273591],84,['Adoption' 'none']
"[('Color', 'Flame Point')]",[1.02916266 1.42514913],395,['Adoption' 'none']
"[('Color', 'Lynx Point')]",[1.03531056 1.52080068],813,['Adoption' 'none']
"[('Color', 'Silver Tabby/White')]",[1.00439491 1.25247562],45,['Adoption' 'none']
"[('Color', 'Black/Blue Tick')]",[0.88260558 0.57564742],51,['Adoption' 'none']
