Rule,Entropy across targets,Length Following Antecedent,Majority Class
"[('Name', 0)]",[1.24364685 1.79298636],43903,['Transfer' 'Partner']
"[('Name', 1)]",[1.1166112  1.09483366],109626,['Adoption' 'none']
"[('day_of_week_at_outcome', 'Wednesday')]",[1.32709629 1.47985259],21052,['Adoption' 'none']
"[('day_of_week_at_outcome', 'Monday')]",[1.3002236  1.34157384],22425,['Adoption' 'none']
"[('day_of_week_at_outcome', 'Saturday')]",[1.12371742 1.28914061],23520,['Adoption' 'none']
"[('day_of_week_at_outcome', 'Thursday')]",[1.32161435 1.5085443 ],20931,['Adoption' 'none']
"[('day_of_week_at_outcome', 'Friday')]",[1.28603878 1.46106524],21597,['Adoption' 'none']
"[('day_of_week_at_outcome', 'Tuesday')]",[1.26950587 1.4591906 ],24162,['Adoption' 'none']
"[('day_of_week_at_outcome', 'Sunday')]",[1.25409096 1.27802571],19842,['Adoption' 'none']
"[('Animal Type', 'Cat')]",[1.0638043  1.55188167],61212,['Adoption' 'none']
"[('Animal Type', 'Dog')]",[1.19079264 1.03049019],83650,['Adoption' 'none']
"[('Animal Type', 'Other')]",[1.10648929 1.41135978],7862,['Euthanasia' 'Rabies Risk']
"[('Animal Type', 'Bird')]",[1.50620537 1.39367441],775,['Adoption' 'none']
"[('Sex upon Outcome', 'Intact Female')]",[1.06460713 1.43889808],19256,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Spayed Female')]",[0.87378594 0.99145823],48887,['Adoption' 'none']
"[('Sex upon Outcome', 'Neutered Male')]",[0.97310556 1.01158849],53823,['Adoption' 'none']
"[('Sex upon Outcome', 'Intact Male')]",[1.16617988 1.46103238],19747,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Unknown')]",[1.15144609 1.7514817 ],11816,['Euthanasia' 'Rabies Risk']
"[('Age upon Outcome', '15 years')]",[1.37466274 1.24111277],420,['Return to Owner' 'none']
"[('Age upon Outcome', '1 month')]",[1.11205974 1.41066051],6523,['Transfer' 'Partner']
"[('Age upon Outcome', '4 years')]",[1.29171744 1.14913838],5178,['Adoption' 'none']
"[('Age upon Outcome', '3 years')]",[1.33500936 1.24021515],8691,['Adoption' 'none']
