animal_id,name,sex_upon_outcome,sex,spay/neuter,Periods,period_range,outcome_age,cat/kitten,age_group,breed1,cfa_breed,domestic_breed,coat_pattern,color1,color2,coat,outcome
A684346,0,Intact Male,Male,No,2,7,1,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,orange,none,orange,Transfer-- Partner
A685067,1,Intact Female,Female,No,1,30,1,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,blue ,white,blue ,Adoption-- 
A678580,1,Spayed Female,Female,Yes,3,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,missing,white,black,white,Adoption-- Offsite
A675405,1,Spayed Female,Female,Yes,1,365,4,Cat,"(-0.022, 2.2]",domestic mediumhair,False,True,missing,black,white,black,Return to Owner-- 
A670420,0,Intact Male,Male,No,3,7,1,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,missing,black,white,black,Transfer-- Partner
A684460,1,Spayed Female,Female,Yes,2,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- 
A673952,0,Unknown,Female,Yes,8,30,3,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,brown ,white,brown ,Transfer-- SCRP
A686497,1,Neutered Male,Male,Yes,5,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,black,none,black,Adoption-- 
A687965,1,Neutered Male,Male,Yes,2,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,orange,none,orange,Adoption-- Foster
A668547,1,Neutered Male,Male,Yes,1,365,4,Cat,"(-0.022, 2.2]",domestic mediumhair,False,True,missing,black,white,black,Transfer-- Partner
A682393,1,Intact Female,Female,No,2,30,2,Kitten,"(-0.022, 2.2]",siamese,True,False,point,seal,none,seal,Transfer-- Partner
A681039,0,Unknown,Female,Yes,2,7,1,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,missing,black,none,black,Transfer-- Partner
A682532,0,Spayed Female,Female,Yes,2,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Adoption-- 
A683779,0,Spayed Female,Female,Yes,3,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,missing,black,none,black,Adoption-- 
A686829,0,Intact Male,Male,No,3,7,1,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,missing,black,none,black,Transfer-- Partner
A617061,1,Neutered Male,Male,Yes,3,365,4,Cat,"(2.2, 4.4]",domestic mediumhair,False,True,tabby,orange,none,orange,Died-- In Kennel
A682085,1,Spayed Female,Female,Yes,4,365,5,Cat,"(2.2, 4.4]",russian blue,True,False,missing,blue,none,blue,Adoption-- 
A692877,1,Neutered Male,Male,Yes,2,365,4,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,cream ,white,cream ,Transfer-- Partner
A683856,1,Neutered Male,Male,Yes,7,365,6,Cat,"(6.6, 8.8]",russian blue,True,False,missing,blue,none,blue,Adoption-- Foster
A683517,1,Intact Female,Female,No,1,30,1,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,calico,Breed Specific,none,calico,Transfer-- Partner
A688811,0,Intact Female,Female,No,1,365,4,Cat,"(-0.022, 2.2]",domestic mediumhair,False,True,tabby,brown,none,brown,Transfer-- SCRP
A680225,0,Intact Female,Female,No,2,365,4,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,calico,Breed Specific,none,calico,Transfer-- SCRP
A662912,1,Neutered Male,Male,Yes,2,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,missing,chocolate,none,chocolate,Transfer-- Partner
A677218,0,Intact Male,Male,No,4,7,1,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- Partner
A691708,0,Intact Female,Female,No,3,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,brown ,white,brown ,Transfer-- SCRP
A670066,1,Spayed Female,Female,Yes,1,365,4,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Adoption-- 
A667511,0,Intact Female,Female,No,2,30,2,Kitten,"(-0.022, 2.2]",domestic mediumhair,False,True,tabby,brown,none,brown,Euthanasia-- Suffering
