age_upon_outcome,name,sex_upon_outcome,sex,spay/neuter,Periods,period_range,cat/kitten,age_group,outcome_weekday,breed1,cfa_breed,domestic_breed,coat_pattern,color1,color2,coat,outcome
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,missing,black,none,black,Adoption-- 
1 month,1,Spayed Female,Female,Yes,1,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic mediumhair,False,True,tabby,black,none,black,Adoption-- 
3 weeks,0,Intact Female,Female,No,3,7,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Transfer-- Partner
3 years,1,Spayed Female,Female,Yes,3,365,Cat,"(2.2, 4.4]",Friday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- 
4 months,1,Spayed Female,Female,Yes,4,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,blue,none,blue,Adoption-- 
1 month,1,Spayed Female,Female,Yes,1,30,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,tabby,brown ,white,brown ,Adoption-- Foster
3 months,1,Spayed Female,Female,Yes,3,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,missing,black,none,black,Adoption-- Foster
2 years,0,Unknown,Female,Yes,2,365,Cat,"(-0.022, 2.2]",Monday,domestic mediumhair,False,True,missing,white,blue,white,Transfer-- SCRP
1 month,0,Intact Male,Male,No,1,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,orange,none,orange,Euthanasia-- Suffering
1 month,0,Intact Male,Male,No,1,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,brown,none,brown,Died-- In Kennel
3 weeks,0,Intact Female,Female,No,3,7,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Transfer-- Partner
4 months,0,Neutered Male,Male,Yes,4,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,missing,black,none,black,Adoption-- Foster
6 months,1,Spayed Female,Female,Yes,6,30,Cat,"(-0.022, 2.2]",Saturday,siamese,True,False,point,lilac,none,lilac,Adoption-- 
1 month,1,Intact Male,Male,No,1,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,blue,none,blue,Transfer-- Partner
3 months,1,Spayed Female,Female,Yes,3,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,torbie,Breed Specific,white,torbie,Adoption-- 
1 month,0,Neutered Male,Male,Yes,1,30,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- 
5 months,1,Spayed Female,Female,Yes,5,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- 
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic mediumhair,False,True,tabby,brown,none,brown,Adoption-- 
4 weeks,0,Intact Female,Female,No,4,7,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,point,lynx,none,lynx,Euthanasia-- Suffering
1 month,1,Intact Male,Male,No,1,30,Kitten,"(-0.022, 2.2]",Sunday,domestic mediumhair,False,True,missing,blue,none,blue,Adoption-- 
3 weeks,0,Intact Female,Female,No,3,7,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,missing,black,white,black,Transfer-- Partner
8 years,1,Neutered Male,Male,Yes,8,365,Cat,"(6.6, 8.8]",Wednesday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- Partner
4 weeks,1,Intact Female,Female,No,4,7,Kitten,"(-0.022, 2.2]",Tuesday,siamese,True,False,calico,Breed Specific,none,calico,Transfer-- Partner
4 years,0,Intact Male,Male,No,4,365,Cat,"(2.2, 4.4]",Sunday,domestic shorthair,False,True,missing,black,white,black,Euthanasia-- Suffering
1 weeks,0,Intact Male,Male,No,1,7,Kitten,"(-0.022, 2.2]",Friday,domestic mediumhair,False,True,missing,black,none,black,Transfer-- Partner
3 years,1,Spayed Female,Female,Yes,3,365,Cat,"(2.2, 4.4]",Monday,domestic shorthair,False,True,calico,Breed Specific,none,calico,Return to Owner-- 
4 days,0,Intact Female,Female,No,4,1,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,blue,none,blue,Transfer-- Partner
3 months,0,Intact Male,Male,No,3,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,missing,black,none,black,Transfer-- SCRP
7 years,1,Spayed Female,Female,Yes,7,365,Cat,"(6.6, 8.8]",Saturday,domestic shorthair,False,True,tabby,brown ,white,brown ,Adoption-- Foster
3 months,1,Neutered Male,Male,Yes,3,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,missing,black,white,black,Adoption-- 
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,missing,black,none,black,Adoption-- 
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic longhair,False,True,missing,yellow,cream,yellow,Adoption-- 
3 weeks,0,Intact Male,Male,No,3,7,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,missing,black,none,black,Transfer-- Partner
1 year,0,Neutered Male,Male,Yes,1,365,Cat,"(-0.022, 2.2]",Saturday,domestic mediumhair,False,True,tabby,orange ,white,orange ,Transfer-- SCRP
1 year,0,Intact Female,Female,No,1,365,Cat,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,orange,none,orange,Transfer-- SCRP
6 months,0,Intact Female,Female,No,6,30,Cat,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- SCRP
1 year,0,Unknown,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Friday,domestic mediumhair,False,True,missing,black,none,black,Transfer-- SCRP
1 weeks,0,Intact Male,Male,No,1,7,Kitten,"(-0.022, 2.2]",Saturday,domestic mediumhair,False,True,missing,orange,none,orange,Transfer-- Partner
1 year,0,Intact Female,Female,No,1,365,Cat,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Transfer-- SCRP
1 month,1,Intact Male,Male,No,1,30,Kitten,"(-0.022, 2.2]",Monday,domestic longhair,False,True,missing,blue,none,blue,Transfer-- Partner
4 months,0,Spayed Female,Female,Yes,4,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Adoption-- 
10 years,1,Spayed Female,Female,Yes,10,365,Cat,"(8.8, 11.0]",Friday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Adoption-- 
2 days,0,Intact Male,Male,No,2,1,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,point,flame,none,flame,Transfer-- Partner
